period,agency,record,record_label,approp,allot_ps,allot_mode,allot_co,allot_tot,oblig_ps,oblig_mode,oblig_co,oblig_tot,uoblig_ps,uoblig_mode,uoblig_co,uoblig_tot,obligrate
2012_Q4,Department of Labor and Employment,contappro_fy,            Allotment Releases in FY 2012,104990,0,104990,0,104990,0,0,0,0,0,104990,0,104990,
2012_Q4,Department of National Defense,budget,Department of National Defense,161376806,101183041,21685764,38457781,161326586,101070433,20256685,4457911,125785029,112608,1429079,33999870,35541557,0.7796918792
2012_Q4,Department of National Defense,budget_curr,      Current Year Budget,141576875,101183041,20999248,19344366,141526655,101070433,19576854,3766292,124413579,112608,1422394,15578074,17113076,
2012_Q4,Department of National Defense,budget_agency,            Agency Specific Budget,"107,272,522,",81919360,19464856,5838086,107222302,81822442,17902813,626502,100351757,96918,1562043,5211584,6870545,
2012_Q4,Department of National Defense,budget_spf,            Special Purpose Funds,19074218,19074218,0,0,19074218,19061351,0,0,19061351,12867,0,0,12867,
2012_Q4,Department of National Defense,budget_automatic,            Automatic Appro,15230135,189463,1534392,13506280,15230135,186640,1674041,3139790,5000471,2823,-139649,10366490,10229664,
2012_Q4,Department of National Defense,contappro,     Continuing Appro,19799931,0,686516,19113415,19799931,0,679831,691619,1371450,0,6685,18421796,18428481,
2012_Q4,Department of National Defense,contappro_end,            Unobligated Allotment as of 12/31/11,19783841,0,670426,19113415,19783841,0,663741,691619,1355360,0,6685,18421796,18428481,
2012_Q4,Department of National Defense,contappro_fy,            Allotment Releases in FY 2012,16090,0,16090,0,16090,0,16090,0,16090,0,0,0,0,
2012_Q4,Department of Public Works and Highway,budget,Department of Public Works and Highway,207476763,6783529,20043813,178874845,205702187,5728187,8697417,149329288,163754892,1055342,11346396,29545557,41947295,0.7960775449
2012_Q4,Department of Public Works and Highway,budget_curr,      Current Year Budget,149552694,6783529,11939423,129055166,147778118,5728187,6276079,99354230,111358496,1055342,5663344,29700936,36419622,
2012_Q4,Department of Public Works and Highway,budget_agency,            Agency Specific Budget,117004114,4122347,6004008,106877759,117004114,3823601,4581927,85299854,93705382,298746,1422081,21577905,23298732,
2012_Q4,Department of Public Works and Highway,budget_spf,            Special Purpose Funds,16640129,2209173,0,14430956,16640129,1421611,0,8540125,9961736,787562,0,5890831,6678393,
2012_Q4,Department of Public Works and Highway,budget_automatic,            Automatic Appro,15908451,452009,5935415,7746451,14133875,482975,1694152,5514251,7691378,-30966,4241263,2232200,6442497,
2012_Q4,Department of Public Works and Highway,contappro,     Continuing Appro,57924069,0,8104390,49819679,57924069,0,2421338,49975058,52396396,0,5683052,-155379,5527673,
2012_Q4,Department of Public Works and Highway,contappro_end,            Unobligated Allotment as of 12/31/11,48534754,0,7862301,40672453,48534754,0,2168646,41098630,43267276,0,5693655,-426177,5267478,
2012_Q4,Department of Public Works and Highway,contappro_fy,            Allotment Releases in FY 2012,9389315,0,242089,9147226,9389315,0,252692,8876428,9129120,0,-10603,270798,260195,
2012_Q4,Department of Science and Technology,budget,Department of Science and Technology,11854218,3455263,6616712,1778141,11850116,3513639,5382386,1297096,10193121,-58376,1234326,481045,1656995,0.8601705671
2012_Q4,Department of Science and Technology,budget_curr,      Current Year Budget,10722298,3455263,5890939,1371994,10718196,3513639,5016789,859397,9389825,-58376,874150,512597,1328371,
2012_Q4,Department of Science and Technology,budget_agency,            Agency Specific Budget,9138661,2666915,5401120,1066524,9134559,2723247,4933535,552756,8209538,-56332,467585,513768,925021,
2012_Q4,Department of Science and Technology,budget_spf,            Special Purpose Funds,1030700,542524,184348,303828,1030700,564907,78256,305825,948988,-22383,106092,-1997,81712,
2012_Q4,Department of Science and Technology,budget_automatic,            Automatic Appro,552937,245824,305471,1642,552937,225485,4998,816,231299,20339,300473,826,321638,
2012_Q4,Department of Science and Technology,contappro,     Continuing Appro,1131920,0,725773,406147,1131920,0,365597,437699,803296,0,360176,-31552,328624,
2012_Q4,Department of Science and Technology,contappro_end,            Unobligated Allotment as of 12/31/11,1127820,0,725773,402047,1127820,0,365597,437699,803296,0,360176,-35652,324524,
2012_Q4,Department of Science and Technology,contappro_fy,            Allotment Releases in FY 2012,4100,0,0,4100,4100,0,0,0,0,0,0,4100,4100,
2012_Q4,Department of Social Welfare and Develpment,budget,Department of Social Welfare and Develpment,59723619,1108427,58009167,606025,59723619,1105807,50988456,408907,52503170,2620,7020711,197118,7220449,0.8791022861
2012_Q4,Department of Social Welfare and Develpment,budget_curr,      Current Year Budget,53258808,1108427,51767854,382527,53258808,1105807,48157992,159848,49423647,2620,3609862,222679,3835161,
2012_Q4,Department of Social Welfare and Develpment,budget_agency,            Agency Specific Budget,50248808,861591,49146665,240180,50248436,867527,45108344,158387,46134258,-5936,4038321,81793,4114178,
2012_Q4,Department of Social Welfare and Develpment,budget_spf,            Special Purpose Funds,2585088,157645,2425443,2000,2585088,151721,2887592,1461,3040774,5924,-462149,539,-455686,
2012_Q4,Department of Social Welfare and Develpment,budget_automatic,            Automatic Appro,425284,89191,195746,140347,425284,86559,162056,0,248615,2632,33690,140347,176669,
2012_Q4,Department of Social Welfare and Develpment,contappro,     Continuing Appro,6464811,0,6241313,223498,6464811,0,2830464,249059,3079523,0,3410849,-25561,3385288,
2012_Q4,Department of Social Welfare and Develpment,contappro_end,            Unobligated Allotment as of 12/31/11,6130355,0,5921933,208422,6130355,0,2830464,249059,3079523,0,3091469,-40637,3050832,
2012_Q4,Department of Social Welfare and Develpment,contappro_fy,            Allotment Releases in FY 2012,334456,0,319380,15076,334456,0,0,0,0,0,319380,15076,334456,
2012_Q4,Department of Tourism,budget,Department of Tourism,4186858,424902,1595517,2166439,4186858,420277,1454536,2089576,3964389,4625,140981,76863,222469,0.9468649283
2012_Q4,Department of Tourism,budget_curr,      Current Year Budget,2277915,424902,1463800,389213,2277915,420277,1323479,311572,2055328,4625,140321,77641,222587,
2012_Q4,Department of Tourism,budget_agency,            Agency Specific Budget,1880736,298895,1399628,182213,1880736,298390,1259307,104572,1662269,505,140321,77641,218467,
2012_Q4,Department of Tourism,budget_spf,            Special Purpose Funds,370769,99597,64172,207000,370769,97228,64172,207000,368400,2369,0,0,2369,
2012_Q4,Department of Tourism,budget_automatic,            Automatic Appro,26410,26410,0,0,26410,24659,0,0,24659,1751,0,0,1751,
2012_Q4,Department of Tourism,contappro,     Continuing Appro,1908943,0,131717,1777226,1908943,0,131057,1778004,1909061,0,660,-778,-118,
2012_Q4,Department of Tourism,contappro_end,            Unobligated Allotment as of 12/31/11,131717,0,131717,0,131717,0,131057,778,131835,0,660,-778,-118,
2012_Q4,Department of Tourism,contappro_fy,            Allotment Releases in FY 2012,1777226,0,0,1777226,1777226,0,0,1777226,1777226,0,0,0,0,
2012_Q4,Department of Trade and Industry,budget,Department of Trade and Industry,3573582,1400394,1732131,384784,3517309,1456622,1552554,318609,3327785,-56228,179577,66175,189524,0.9461167614
2012_Q4,Department of Trade and Industry,budget_curr,      Current Year Budget,3098316,1400394,1552394,89255,3042043,1458762,1387901,20243,2866906,-58368,164493,69012,175137,
2012_Q4,Department of Trade and Industry,budget_agency,            Agency Specific Budget,2680507,1085154,1512873,82480,2680507,1145728,1357971,15759,2519458,-60574,154902,66721,161049,
2012_Q4,Department of Trade and Industry,budget_spf,            Special Purpose Funds,234894,216863,17592,439,234894,215591,15404,0,230995,1272,2188,439,3899,
2012_Q4,Department of Trade and Industry,budget_automatic,            Automatic Appro,182915,98377,21929,6336,126642,97443,14526,4484,116453,934,7403,1852,10189,
2012_Q4,Department of Trade and Industry,contappro,     Continuing Appro,475266,0,179737,295529,475266,6860,164653,298366,469879,-6860,15084,-2837,5387,
2012_Q4,Department of Trade and Industry,contappro_end,            Unobligated Allotment as of 12/31/11,405767,0,133238,272529,405767,6860,122167,275366,404393,-6860,11071,-2837,1374,
2012_Q4,Department of Trade and Industry,contappro_fy,            Allotment Releases in FY 2012,69499,0,46499,23000,69499,0,42486,23000,65486,0,4013,0,4013,
2012_Q4,Department of Transportation and Communications,budget,Department of Transportation and Communications,44107565,5020876,12590668,17908913,35520457,5007752,11026464,3635834,19670050,13124,1564204,14273079,15850407,
2012_Q4,Department of Transportation and Communications,budget_curr,      Current Year Budget,37983463,5020876,11323596,13051883,29396355,5007752,9806815,1946052,16760619,13124,1516781,11105831,12635736,0.5701597698
2012_Q4,Department of Transportation and Communications,budget_agency,            Agency Specific Budget,33242378,3493919,9012783,12148568,24655270,3752024,7570969,1935182,13258175,-258105,1441814,10213386,11397095,
2012_Q4,Department of Transportation and Communications,budget_spf,            Special Purpose Funds,1981197,1181197,0,800000,1981197,900364,0,0,900364,280833,0,800000,1080833,
2012_Q4,Department of Transportation and Communications,budget_automatic,            Automatic Appro,2759888,345760,2310813,103315,2759888,355364,2235846,10870,2602080,-9604,74967,92445,157808,
2012_Q4,Department of Transportation and Communications,contappro,     Continuing Appro,6124102,0,1267072,4857030,6124102,0,1219649,1689782,2909431,0,47423,3167248,3214671,
2012_Q4,Department of Transportation and Communications,contappro_end,            Unobligated Allotment as of 12/31/11,6044102,0,1267072,4777030,6044102,0,1219649,1689782,2909431,0,47423,3087248,3134671,
2012_Q4,Department of Transportation and Communications,contappro_fy,            Allotment Releases in FY 2012,80000,0,0,80000,80000,0,0,0,0,0,0,80000,80000,
2012_Q4,National Economic and Development Authority,budget,National Economic and Development Authority,6021263,1557931,3592252,871080,6021263,1105535,1081657,224484,2411676,452396,2510595,646596,3609587,0.4005266005
2012_Q4,National Economic and Development Authority,budget_curr,      Current Year Budget,5054467,1557931,2802830,693706,5054467,1105535,858625,40642,2004802,452396,1944205,653064,3049665,
2012_Q4,National Economic and Development Authority,budget_agency,            Agency Specific Budget,4604917,1186922,2726986,691009,4604917,849997,848291,37279,1735567,336925,1878695,653730,2869350,
2012_Q4,National Economic and Development Authority,budget_spf,            Special Purpose Funds,256818,255621,1197,0,256818,190266,0,0,190266,65355,1197,0,66552,
2012_Q4,National Economic and Development Authority,budget_automatic,            Automatic Appro,192732,115388,74647,2697,192732,65272,10334,3363,78969,50116,64313,-666,113763,
2012_Q4,National Economic and Development Authority,contappro,     Continuing Appro,966796,0,789422,177374,966796,0,223032,183842,406874,0,566390,-6468,559922,
2012_Q4,National Economic and Development Authority,contappro_end,            Unobligated Allotment as of 12/31/11,95325,0,63631,31694,95325,0,23888,1641,25529,0,39743,30053,69796,
2012_Q4,National Economic and Development Authority,contappro_fy,            Allotment Releases in FY 2012,165105,0,165105,0,165105,0,0,0,0,0,165105,0,165105,
2012_Q4,Presidential Communications Operations Office,budget,Presidential Communications Operations Office,1643089,797436,560871,284782,1643089,773107,510075,31096,1314278,24329,50796,253686,328811,0.7998824166
2012_Q4,Presidential Communications Operations Office,budget_curr,      Current Year Budget,1547764,797436,497240,253088,1547764,773107,486187,29455,1288749,24329,11053,223633,259015,
2012_Q4,Presidential Communications Operations Office,budget_agency,            Agency Specific Budget,1339975,612674,474866,252435,1339975,522446,428913,28802,980161,90228,45953,223633,359814,
2012_Q4,Presidential Communications Operations Office,budget_spf,            Special Purpose Funds,147763,125389,22374,0,147763,195552,57274,0,252826,-70163,-34900,0,-105063,
2012_Q4,Presidential Communications Operations Office,budget_automatic,            Automatic Appro,60026,59373,0,653,60026,55109,0,653,55762,4264,0,0,4264,
2012_Q4,Presidential Communications Operations Office,contappro,     Continuing Appro,95325,0,63631,31694,95325,0,23888,1641,25529,0,39743,30053,69796,
2012_Q4,Presidential Communications Operations Office,contappro_end,            Unobligated Allotment as of 12/31/11,95325,0,63631,31694,95325,0,23888,1641,25529,0,39743,30053,69796,
2012_Q4,Presidential Communications Operations Office,contappro_fy,            Allotment Releases in FY 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q4,Other Executive Office,budget,Other Executive Office,12226036,3729680,7138164,1276998,12144842,3551686,4231507,631898,8415091,177994,2906657,645100,3729751,0.6928942344
2012_Q4,Other Executive Office,budget_curr,      Current Year Budget,9403426,3546908,4763053,480886,8790847,2608392,2320936,135114,5064442,938516,2442117,345772,3726405,
2012_Q4,Other Executive Office,budget_agency,            Agency Specific Budget,6725992,2803201,2947278,404407,6154886,2220480,2115970,135114,4471564,582721,831308,269293,1683322,
2012_Q4,Other Executive Office,budget_spf,            Special Purpose Funds,1936828,620313,1117621,198894,1936828,465062,259032,18855,742949,155251,858589,180039,1193879,
2012_Q4,Other Executive Office,budget_automatic,            Automatic Appro,1839169,304409,1236822,194464,1735695,259119,134709,351,394179,45290,1102113,194113,1341516,
2012_Q4,Other Executive Office,contappro,     Continuing Appro,1711606,0,1538768,172838,1711606,585,1452131,153368,1606084,-585,86637,19470,105522,
2012_Q4,Other Executive Office,contappro_end,            Unobligated Allotment as of 12/31/11,1631039,0,1499498,131541,1631039,0,1017933,121572,1139505,-1017933,1377926,9969,491534,
2012_Q4,Other Executive Office,contappro_fy,            Allotment Releases in FY 2012,80567,0,39270,41297,80567,585,434198,31796,466579,-585,-394928,9501,-386012,
2012_Q4,Autonomous Region in Muslim Mindanao ,budget,Autonomous Region in Muslim Mindanao ,14952537,9171870,2803173,2778970,14754013,9153538,2455984,2757775,14367297,18332,347189,21195,386716,0.9737890972
2012_Q4,Autonomous Region in Muslim Mindanao ,budget_curr,      Current Year Budget,14196535,9171870,2470093,2356048,13998011,9153538,2354021,2126943,13634502,18332,116072,229105,363509,
2012_Q4,Autonomous Region in Muslim Mindanao ,budget_agency,            Agency Specific Budget,12187138,7755342,2110302,2321494,12187138,7749500,2340300,1189333,11279133,5842,-229998,1132161,908005,
2012_Q4,Autonomous Region in Muslim Mindanao ,budget_spf,            Special Purpose Funds,1258481,1218927,5000,34554,1258481,1209829,13721,937610,2161160,9098,-8721,-903056,-902679,
2012_Q4,Autonomous Region in Muslim Mindanao ,budget_automatic,            Automatic Appro,750916,197601,354791,,552392,194209,,,194209,3392,354791,0,358183,
2012_Q4,Autonomous Region in Muslim Mindanao ,contappro,     Continuing Appro,756002,0,333080,422922,756002,,101963,630832,732795,0,231117,-207910,23207,
2012_Q4,Autonomous Region in Muslim Mindanao ,contappro_end,            Unobligated Allotment as of 12/31/11,697727,0,333230,367497,700727,,,196294,196294,0,333230,171203,504433,
2012_Q4,Autonomous Region in Muslim Mindanao ,contappro_fy,            Allotment Releases in FY 2012,58275,,2850,55425,58275,,101963,434538,536501,0,-99113,-379113,-478226,
2012_Q4,Joint Legislative-Executive Councils ,budget,Joint Legislative-Executive Councils ,2274,1635,620,19,2274,1169,372,18,1559,466,248,1,715,0.6855760774
2012_Q4,Joint Legislative-Executive Councils ,budget_curr,      Current Year Budget,2147,1635,512,0,2147,1169,277,0,1446,466,235,0,701,
2012_Q4,Joint Legislative-Executive Councils ,budget_agency,            Agency Specific Budget,2137,1625,512,0,2137,1169,277,0,1446,456,235,0,691,
2012_Q4,Joint Legislative-Executive Councils ,budget_spf,            Special Purpose Funds,10,10,0,0,10,0,0,0,0,10,0,0,10,
2012_Q4,Joint Legislative-Executive Councils ,budget_automatic,            Automatic Appro,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q4,Joint Legislative-Executive Councils ,contappro,     Continuing Appro,127,,108,19,127,0,95,18,113,0,13,1,14,
2012_Q4,Joint Legislative-Executive Councils ,contappro_end,            Unobligated Allotment as of 12/31/11,127,,108,19,127,0,95,18,113,0,13,1,14,
2012_Q4,Joint Legislative-Executive Councils ,contappro_fy,            Allotment Releases in FY 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q4,The Judiciary ,budget,The Judiciary ,20384211,14168444,5937137,278630,20384211,14331240,2998951,148934,17479125,-162796,2938186,129696,2905086,0.85748352
2012_Q4,The Judiciary ,budget_curr,      Current Year Budget,18109024,14168444,3661950,278630,18109024,14321504,2977562,88342,17387408,-153060,684388,190288,721616,
2012_Q4,The Judiciary ,budget_agency,            Agency Specific Budget,15075891,11135311,3661950,278630,15075891,12279527,2977562,88342,15345431,-1144216,684388,190288,-269540,
2012_Q4,The Judiciary ,budget_spf,            Special Purpose Funds,2281644,2281644,0,0,2281644,1265101,0,0,1265101,1016543,0,0,1016543,
2012_Q4,The Judiciary ,budget_automatic,            Automatic Appro,751489,751489,0,0,751489,776876,0,0,776876,-25387,0,0,-25387,
2012_Q4,The Judiciary ,contappro,     Continuing Appro,2275187,0,2275187,0,2275187,9736,21389,60592,91717,-9736,2253798,-60592,2183470,
2012_Q4,The Judiciary ,contappro_end,            Unobligated Allotment as of 12/31/11,2275187,0,2275187,0,2275187,9736,21389,60592,91717,-9736,2253798,-60592,2183470,
2012_Q4,The Judiciary ,contappro_fy,            Allotment Releases in FY 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q4,Civil Service Commission ,budget,Civil Service Commission ,846683,680058,157725,8900,846683,726287,154471,6723,887481,-46229,3254,2177,-40798,1.0481856846
2012_Q4,Civil Service Commission ,budget_curr,      Current Year Budget,846683,680058,157725,8900,846683,726287,154471,6723,887481,-46229,3254,2177,-40798,
2012_Q4,Civil Service Commission ,budget_agency,            Agency Specific Budget,777248,612542,155806,8900,777248,658890,152552,6723,818165,-46348,3254,2177,-40917,
2012_Q4,Civil Service Commission ,budget_spf,            Special Purpose Funds,24559,22640,1919,,24559,6172,1919,0,8091,16468,0,0,16468,
2012_Q4,Civil Service Commission ,budget_automatic,            Automatic Appro,44876,44876,0,0,44876,61225,0,0,61225,-16349,0,0,-16349,
2012_Q4,Civil Service Commission ,contappro,     Continuing Appro,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q4,Civil Service Commission ,contappro_end,            Unobligated Allotment as of 12/31/11,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q4,Civil Service Commission ,contappro_fy,            Allotment Releases in FY 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q4,Commission on Audit ,budget,Commission on Audit ,7797295,7060360,327582,409353,7797295,6437742,382439,55737,6875918,622618,-54857,353616,921377,0.8818337641
2012_Q4,Commission on Audit ,budget_curr,      Current Year Budget,7642855,7060360,312719,269776,7642855,5421776,382439,55737,5859952,1638584,-69720,214039,1782903,
2012_Q4,Commission on Audit ,budget_agency,            Agency Specific Budget,6634662,6052167,312719,269776,6634662,640831,0,0,640831,5411336,312719,269776,5993831,
2012_Q4,Commission on Audit ,budget_spf,            Special Purpose Funds,595897,595897,0,0,595897,375135,0,0,375135,220762,0,0,220762,
2012_Q4,Commission on Audit ,budget_automatic,            Automatic Appro,412296,412296,0,0,412296,0,12487,139218,151705,412296,-12487,-139218,260591,
2012_Q4,Commission on Audit ,contappro,     Continuing Appro,154440,0,14863,139577,154440,0,12487,139218,151705,0,2376,359,2735,
2012_Q4,Commission on Audit ,contappro_end,            Unobligated Allotment as of 12/31/11,154440,0,14863,139577,154440,0,0,0,0,0,14863,139577,154440,
2012_Q4,Commission on Audit ,contappro_fy,            Allotment Releases in FY 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q4,Commission on Elections ,budget,Commission on Elections ,19347479,2294594,17040885,12000,19347479,2547224,3391263,3075949,9014436,-252630,13649622,-3063949,10333043,0.465923028
2012_Q4,Commission on Elections ,budget_curr,      Current Year Budget,14614198,2294594,12307604,12000,14614198,2251235,2406939,1845274,6503448,43359,9900665,-1833274,8110750,
2012_Q4,Commission on Elections ,budget_agency,            Agency Specific Budget,14170264,1850660,12307604,12000,14170264,1805651,2406939,1845274,6057864,45009,9900665,-1833274,8112400,
2012_Q4,Commission on Elections ,budget_spf,            Special Purpose Funds,298689,298689,0,0,298689,295886,0,0,295886,2803,0,0,2803,
2012_Q4,Commission on Elections ,budget_automatic,            Automatic Appro,145245,145245,0,0,145245,149698,0,0,149698,-4453,0,0,-4453,
2012_Q4,Commission on Elections ,contappro,     Continuing Appro,4733281,0,4733281,0,4733281,295989,984324,1230675,2510988,-295989,3748957,-1230675,2222293,
2012_Q4,Commission on Elections ,contappro_end,            Unobligated Allotment as of 12/31/11,4733281,0,4733281,0,4733281,295989,984324,1230675,2510988,-295989,3748957,-1230675,2222293,
2012_Q4,Commission on Elections ,contappro_fy,            Allotment Releases in FY 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q4,Office of the Ombudsman ,budget,Office of the Ombudsman ,2101988,1262793,819906,19289,2101988,1121231,178882,16122,1316235,141562,641024,3167,785753,0.6261857822
2012_Q4,Office of the Ombudsman ,budget_curr,      Current Year Budget,1474572,1262793,192490,19289,1474572,956983,178882,16122,1151987,305810,13608,3167,322585,
2012_Q4,Office of the Ombudsman ,budget_agency,            Agency Specific Budget,1308746,1100134,192490,16122,1308746,106785,0,0,106785,993349,192490,16122,1201961,
2012_Q4,Office of the Ombudsman ,budget_spf,            Special Purpose Funds,106785,106785,0,0,106785,57463,0,0,57463,49322,0,0,49322,
2012_Q4,Office of the Ombudsman ,budget_automatic,            Automatic Appro,59041,55874,0,3167,59041,7949,6855,508550,523354,47925,-6855,-505383,-464313,
2012_Q4,Office of the Ombudsman ,contappro,     Continuing Appro,627416,0,627416,0,627416,7949,6855,508550,523354,-7949,620561,-508550,104062,
2012_Q4,Office of the Ombudsman ,contappro_end,            Unobligated Allotment as of 12/31/11,627416,0,627416,0,627416,0,0,0,0,0,627416,0,627416,
2012_Q4,Office of the Ombudsman ,contappro_fy,            Allotment Releases in FY 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q4,Commission on Human Rights ,budget,Commission on Human Rights ,356607,257738,86169,12700,356607,257738,83317,12192,353247,0,2852,508,3360,0.990577863
2012_Q4,Commission on Human Rights ,budget_curr,      Current Year Budget,349235,257738,78797,12700,349235,257738,75945,12192,345875,0,2852,508,3360,
2012_Q4,Commission on Human Rights ,budget_agency,            Agency Specific Budget,273100,181603,78797,12700,273100,207793,75945,12192,295930,-26190,2852,508,-22830,
2012_Q4,Commission on Human Rights ,budget_spf,            Special Purpose Funds,56285,56285,0,0,56285,33168,0,0,33168,23117,0,0,23117,
2012_Q4,Commission on Human Rights ,budget_automatic,            Automatic Appro,19850,19850,0,0,19850,16777,0,0,16777,3073,0,0,3073,
2012_Q4,Commission on Human Rights ,contappro,     Continuing Appro,7372,0,7372,0,7372,0,7323,0,7323,0,49,0,49,
2012_Q4,Commission on Human Rights ,contappro_end,            Unobligated Allotment as of 12/31/11,7372,0,7372,0,7372,0,7323,0,7323,0,49,0,49,
2012_Q4,Commission on Human Rights ,contappro_fy,            Allotment Releases in FY 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q3,Congress of the Philippines,budget,Congress of the Philippines,11406992,4751107,6254535,401350,11406992,1299419,1247761,8492,2555672,3451688,5006774,392858,8851320,0.2240443405
2012_Q3,Congress of the Philippines,budget_curr,      Current Year Budget,10067227,4751107,4914770,401350,10067227,1299419,918012,3930,2221361,3451688,3996758,397420,7845866,
2012_Q3,Congress of the Philippines,budget_agency,            Agency Specific Budget,9413106,4096986,4914770,401350,9413106,1102716,918012,3930,2024658,2994270,3996758,397420,7388448,
2012_Q3,Congress of the Philippines,budget_spf,            Special Purpose Funds,375831,375831,0,0,375831,112676,0,0,112676,263155,0,0,263155,
2012_Q3,Congress of the Philippines,budget_automatic,            Automatic Appro,278290,278290,0,0,278290,84027,0,0,84027,194263,0,0,194263,
2012_Q3,Congress of the Philippines,contappro,     Continuing Appro,1399765,0,1399765,0,1399765,0,329749,4562,334311,0,1070016,-4562,1065454,
2012_Q3,Congress of the Philippines,contappro_end,            Unobligated Allotment as of 12/31/11,1399765,0,1399765,0,1399765,0,329749,4562,334311,0,1070016,-4562,1065454,
2012_Q3,Congress of the Philippines,contappro_fy,            Allotment Releases in FY 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q3,Office of the President,budget,Office of the President,3980318,572011,3068166,340141,3980318,542386,1400080,57807,2000273,29625,1668086,282334,1980045,0.502541003
2012_Q3,Office of the President,budget_curr,      Current Year Budget,2805253,572011,1993605,239637,2805253,542386,380000,0,922386,29625,1613605,239637,1882867,
2012_Q3,Office of the President,budget_agency,            Agency Specific Budget,2609422,487542,1957243,164637,2609422,464831,380000,0,844831,22711,1577243,164637,1764591,
2012_Q3,Office of the President,budget_spf,            Special Purpose Funds,46948,46948,0,0,46948,46404,0,0,46404,544,0,0,544,
2012_Q3,Office of the President,budget_automatic,            Automatic Appro,148883,37521,36362,75000,148883,31151,0,0,31151,6370,36362,75000,117732,
2012_Q3,Office of the President,contappro,     Continuing Appro,1175065,0,1074561,100504,1175065,0,1020080,57807,1077887,0,54481,42697,97178,
2012_Q3,Office of the President,contappro_end,            Unobligated Allotment as of 12/31/11,1145065,0,1069561,75504,1145065,0,1019534,43953,1063487,0,50027,31551,81578,
2012_Q3,Office of the President,contappro_fy,            Allotment Releases in FY 2012,30000,0,5000,25000,30000,0,546,13854,14400,0,4454,11146,15600,
2012_Q3,Office of the Vice-President,budget,Office of the Vice-President,442713,48462,236026,58225,342713,34675,122217,6210,163102,13787,113809,52015,179611,0.4759142489
2012_Q3,Office of the Vice-President,budget_curr,      Current Year Budget,420095,48462,215871,55762,320095,34675,106046,4974,145695,13787,109825,50788,174400,
2012_Q3,Office of the Vice-President,budget_agency,            Agency Specific Budget,401786,39153,206871,55762,301786,27798,104275,4974,137047,11355,102596,50788,164739,
2012_Q3,Office of the Vice-President,budget_spf,            Special Purpose Funds,14689,5689,9000,0,14689,3764,1771,0,5535,1925,7229,0,9154,
2012_Q3,Office of the Vice-President,budget_automatic,            Automatic Appro,3620,3620,0,0,3620,3113,0,0,3113,507,0,0,507,
2012_Q3,Office of the Vice-President,contappro,     Continuing Appro,22618,0,20155,2463,22618,0,16171,1236,17407,0,3984,1227,5211,
2012_Q3,Office of the Vice-President,contappro_end,            Unobligated Allotment as of 12/31/11,22618,0,20155,2463,22618,0,16171,1236,17407,0,3984,1227,5211,
2012_Q3,Office of the Vice-President,contappro_fy,            Allotment Releases in FY 2012,0,0,0,0,0,0,0,0,0,0,0,0,0,
2012_Q3,Department of Agrarian Reform,budget,Department of Agrarian Reform,18978891,5260414,10213636,3402461,18876511,3862299,4011040,1273602,9146941,1398115,6202596,2128859,9729570,0.4845673546
2012_Q3,Department of Agrarian Reform,budget_curr,      Current Year Budget,14001721,5260414,6567931,2173376,14001721,3862299,2383804,347960,6594063,1398115,4184127,1825416,7407658,
2012_Q3,Department of Agrarian Reform,budget_agency,            Agency Specific Budget,12920120,4195313,6551431,2173376,12920120,3152370,2383804,347960,5884134,1042943,4167627,1825416,7035986,
2012_Q3,Department of Agrarian Reform,budget_spf,            Special Purpose Funds,664789,648289,16500,0,664789,426692,0,0,426692,221597,16500,0,238097,
2012_Q3,Department of Agrarian Reform,budget_automatic,            Automatic Appro,416812,416812,0,0,416812,283237,0,0,283237,133575,0,0,133575,
2012_Q3,Department of Agrarian Reform,contappro,     Continuing Appro,4977170,0,3645705,1229085,4874790,0,1627236,925642,2552878,0,2018469,303443,2321912,
2012_Q3,Department of Agrarian Reform,contappro_end,            Unobligated Allotment as of 12/31/11,3816460,0,2587375,1229085,3816460,0,1627236,925642,2552878,0,960139,303443,1263582,
2012_Q3,Department of Agrarian Reform,contappro_fy,            Allotment Releases in FY 2012,1160710,0,1058330,0,1058330,0,0,0,0,0,1058330,0,1058330,
2012_Q3,Department of Agriculture,budget,Department of Agriculture,65639498,3542938,19692266,35487276,58722480,2784695,13429784,27209155,43423634,758243,6262482,8278121,15298846,0.7394720727
2012_Q3,Department of Agriculture,budget_curr,      Current Year Budget,53914264,3542938,15154869,28299439,46997246,2784695,10137627,23469173,36391495,758243,5017242,4830266,10605751,
2012_Q3,Department of Agriculture,budget_agency,            Agency Specific Budget,53180718,3098001,14867760,28297939,46263700,2380654,9932150,23469173,35781977,717347,4935610,4828766,10481723,
